REGION,STATE,COUNTY,PRETBRPCT
5,Illinois,Randolph County,11.3
5,Illinois,Richland County,12.3
5,Illinois,Rock Island County,10.6
5,Illinois,St. Clair County,12.2
5,Illinois,Saline County,10.2
5,Illinois,Sangamon County,12.6
5,Illinois,Schuyler County,11.1
5,Illinois,Scott County,13.2
5,Illinois,Shelby County,11.2
5,Illinois,Stark County,11.5
5,Illinois,Stephenson County,10.8
5,Illinois,Tazewell County,9.8
5,Illinois,Union County,10.1
5,Illinois,Vermilion County,12.1
5,Illinois,Wabash County,11.7
5,Illinois,Warren County,10.6
5,Illinois,Washington County,10.9
5,Illinois,Wayne County,11.6
5,Illinois,White County,10.7
5,Illinois,Whiteside County,8.2
5,Illinois,Will County,10.6
5,Illinois,Williamson County,10.4
5,Illinois,Winnebago County,11.3
5,Illinois,Woodford County,9.9
5,Indiana,Adams County,9.4
5,Indiana,Allen County,9.5
5,Indiana,Bartholomew County,8
5,Indiana,Benton County,10.6
5,Indiana,Blackford County,10.7
5,Indiana,Boone County,9.3
5,Indiana,Brown County,8.9
5,Indiana,Carroll County,9.9
5,Indiana,Cass County,9.8
5,Indiana,Clark County,10.2
5,Indiana,Clay County,10.2
5,Indiana,Clinton County,9.3
5,Indiana,Crawford County,11.5
5,Indiana,Daviess County,8
5,Indiana,Dearborn County,9.8
5,Indiana,Decatur County,8.6
5,Indiana,DeKalb County,9.1
5,Indiana,Delaware County,10.9
5,Indiana,Dubois County,11.8
5,Indiana,Elkhart County,8.8
5,Indiana,Fayette County,9.9
5,Indiana,Floyd County,10.6
5,Indiana,Fountain County,10.2
5,Indiana,Franklin County,10.2
5,Indiana,Fulton County,9.9
5,Indiana,Gibson County,10.8
5,Indiana,Grant County,10.8
5,Indiana,Greene County,11
5,Indiana,Hamilton County,9
5,Indiana,Hancock County,9.7
5,Indiana,Harrison County,10.7
5,Indiana,Hendricks County,9.5
5,Indiana,Henry County,10.3
5,Indiana,Howard County,10.1
5,Indiana,Huntington County,9.8
5,Indiana,Jackson County,9.8
5,Indiana,Jasper County,9.4
5,Indiana,Jay County,9.8
5,Indiana,Jefferson County,9.9
5,Indiana,Jennings County,8.9
5,Indiana,Johnson County,9.7
5,Indiana,Knox County,11.6
5,Indiana,Kosciusko County,9.4
5,Indiana,LaGrange County,7.4
5,Indiana,Lake County,10.1
5,Indiana,LaPorte County,10.9
5,Indiana,Lawrence County,9.8
5,Indiana,Madison County,11
5,Indiana,Marion County,11.2
5,Indiana,Marshall County,10
5,Indiana,Martin County,10.5
5,Indiana,Miami County,10.2
5,Indiana,Monroe County,10
5,Indiana,Montgomery County,9.9
5,Indiana,Morgan County,10.4
5,Indiana,Newton County,10
5,Indiana,Noble County,7.7
5,Indiana,Ohio County,9.5
5,Indiana,Orange County,9.8
5,Indiana,Owen County,9.7
5,Indiana,Parke County,10.8
5,Indiana,Perry County,11.6
5,Indiana,Pike County,11.9
5,Indiana,Porter County,10.3
5,Indiana,Posey County,11.1
5,Indiana,Pulaski County,9.7
5,Indiana,Putnam County,9
5,Indiana,Randolph County,10.6
5,Indiana,Ripley County,9
5,Indiana,Rush County,9.4
5,Indiana,St. Joseph County,10.8
5,Indiana,Scott County,10
5,Indiana,Shelby County,10.2
5,Indiana,Spencer County,9.2
5,Indiana,Starke County,10.8
5,Indiana,Steuben County,9.6
5,Indiana,Sullivan County,11.5
5,Indiana,Switzerland County,9.4
5,Indiana,Tippecanoe County,10
5,Indiana,Tipton County,10.1
5,Indiana,Union County,9.9
5,Indiana,Vanderburgh County,10.8
5,Indiana,Vermillion County,12.1
5,Indiana,Vigo County,12.4
5,Indiana,Wabash County,10.1
5,Indiana,Warren County,10.9
5,Indiana,Warrick County,11
5,Indiana,Washington County,10.1
5,Indiana,Wayne County,10.4
5,Indiana,Wells County,9.7
5,Indiana,White County,9.6
5,Indiana,Whitley County,9.4
7,Iowa,Adair County,9.5
7,Iowa,Adams County,10.7
7,Iowa,Allamakee County,7.3
7,Iowa,Appanoose County,9.7
7,Iowa,Audubon County,9.8
7,Iowa,Benton County,9
7,Iowa,Black Hawk County,9.1
7,Iowa,Boone County,9.5
7,Iowa,Bremer County,9.1
7,Iowa,Buchanan County,8.6
7,Iowa,Buena Vista County,8.9
7,Iowa,Butler County,9.3
7,Iowa,Calhoun County,8.8
7,Iowa,Carroll County,9.1
7,Iowa,Cass County,10.5
7,Iowa,Cedar County,9.8
7,Iowa,Cerro Gordo County,8.8
7,Iowa,Cherokee County,9.5
7,Iowa,Chickasaw County,8.3
7,Iowa,Clarke County,9.9
7,Iowa,Clay County,8.8
7,Iowa,Clayton County,8.2
7,Iowa,Clinton County,10.9
7,Iowa,Crawford County,10.6
7,Iowa,Dallas County,9.6
7,Iowa,Davis County,9.7
7,Iowa,Decatur County,9.1
7,Iowa,Delaware County,12
7,Iowa,Des Moines County,10.3
7,Iowa,Dickinson County,9.2
7,Iowa,Dubuque County,7.6
7,Iowa,Emmet County,8.8
7,Iowa,Fayette County,8.9
